date,shapeID,shapeName,mapping_method,gefs_mean_mm,gefs_max_mm,observed_mean_mm,observed_max_mm,heavy_probability_mean,heavy_probability_max,very_heavy_probability_max,grid_cells,risk_level,very_heavy_experimental,correction_raw_mean_mm,global_corrected_mean_mm,global_corrected_max_mm,regime_corrected_mean_mm,regime_corrected_max_mm,regime_adjustment_mm,global_adjustment_mm
2018-07-27,76128533B20474666262371,Osmanabad,contained_grid,0.8963637,1.2600001,0.30329543,0.735,0.00013718665,0.00014910901,2.3038489e-05,11,Low Modelled Signal,False,0.8963637,0.0,0.0,0.0,0.0,-0.8963637,-0.8963637
2018-07-27,76128533B20502827346807,Dindori,contained_grid,18.935999,25.95,0.93025,1.1949999,0.01306726,0.015813095,0.0010104631,5,Low Modelled Signal,False,18.935999,13.541593,20.555593,13.526072,20.540073,-5.4099274,-5.3944063
2018-07-27,76128533B20504715877560,Ganderbal,contained_grid,2.7233334,3.4799998,1.0958333,1.6175001,0.0003679966,0.00038849594,5.406183e-05,3,Low Modelled Signal,False,2.7233334,0.0,0.0,0.0,0.0,-2.7233334,-2.7233334
2018-07-27,76128533B20647769792365,Pratapgarh,contained_grid,1.9916667,3.5,4.041875,8.322499,0.00097050617,0.0014100159,0.000114480936,6,Low Modelled Signal,False,1.9916667,0.0,0.0,0.0,0.0,-1.9916667,-1.9916667
2018-07-27,76128533B20660206691661,Auraiya,contained_grid,6.05,6.4,40.221252,60.230003,0.02602062,0.032450978,0.00036255666,2,Low Modelled Signal,False,6.05,0.6555922,1.0055923,0.64007163,0.9900718,-5.4099283,-5.394408
2018-07-27,76128533B20683890392439,Narsimhapur,contained_grid,1.08,2.42,0.38333333,1.5775001,0.00038362725,0.0008422154,7.5608594e-05,9,Low Modelled Signal,False,1.08,0.0,0.0,0.0,0.0,-1.08,-1.08
2018-07-27,76128533B20732636837048,Sikar,contained_grid,10.24,54.42,0.13125001,0.6675,0.025729274,0.080032974,0.0028167374,11,Low Modelled Signal,False,10.24,7.222542,49.02559,7.2154875,49.01007,-3.0245123,-3.017458
2018-07-27,76128533B20752885472650,Bankura,contained_grid,6.1554546,13.040001,13.645908,24.885002,0.018508641,0.055586,0.001732978,11,Low Modelled Signal,False,6.1554546,1.8793064,7.645593,1.8736628,7.6300726,-4.2817917,-4.2761483
2018-07-27,76128533B2080752988715,Morbi,contained_grid,0.5271429,0.63,0.38196427,1.4399999,0.00012261457,0.00014342833,1.566403e-05,7,Low Modelled Signal,False,0.5271429,0.0,0.0,0.0,0.0,-0.5271429,-0.5271429
2018-07-27,76128533B21068662878849,Kamareddy,contained_grid,0.834,1.21,0.2335,0.4775,0.00012962366,0.00014034321,1.6390093e-05,5,Low Modelled Signal,False,0.834,0.0,0.0,0.0,0.0,-0.834,-0.834
2018-07-27,76128533B21119051307760,Jyotiba Phule Nagar,contained_grid,9.795,17.68,25.283436,44.594994,0.0058103767,0.007574881,0.00026627828,4,Low Modelled Signal,False,9.795,5.535296,12.285593,5.5275354,12.270072,-4.2674646,-4.259704
