date,geographic_regime_code,geographic_regime,valid_pairs,mean_rainfall_mm,bias_mm,mae_mm,rmse_mm,correlation,agreement_score
2018-07-26,1,Coastal plain,479.0,7.391629219055176,0.4777231812477112,6.371579170227051,11.905777931213379,0.6392304024918287,0.7332795262336731
2018-07-26,2,Interior orographic,943.0,11.510900497436523,-6.0859694480896,13.835550308227539,23.17505645751953,0.137388047403438,0.5975844264030457
2018-07-26,3,Coastal orographic,102.0,7.828786373138428,-8.483111381530762,11.379853248596191,16.837053298950195,-0.031131024084678473,0.5915390253067017
2018-07-27,0,Interior plain,3108.0,6.487884044647217,-2.6136794090270996,6.579503059387207,15.680953025817871,0.4605940235757841,0.7546537518501282
2018-07-27,1,Coastal plain,479.0,3.742370367050171,-1.652883529663086,3.192621946334839,6.672205448150635,0.7178659393539719,0.8131417632102966
2018-07-27,2,Interior orographic,943.0,8.752685546875,-0.9080531001091003,8.536439895629883,15.357425689697266,0.46547091504352445,0.6741452813148499
2018-07-27,3,Coastal orographic,102.0,4.026123523712158,-4.38908576965332,5.061105728149414,7.544962406158447,0.24667317427533328,0.6781591773033142
2018-07-28,0,Interior plain,3108.0,5.3857221603393555,-0.490302175283432,5.454435348510742,13.789801597595215,0.4557329399910155,0.7959874868392944
2018-07-28,1,Coastal plain,479.0,3.2312710285186768,-0.7780325412750244,3.3996598720550537,6.969672203063965,0.5085472757529599,0.8072536587715149
2018-07-28,2,Interior orographic,943.0,9.860143661499023,1.6219390630722046,9.976311683654785,19.681001663208008,0.43136475123800605,0.6830582022666931
2018-07-28,3,Coastal orographic,102.0,5.192969799041748,-0.4419705867767334,7.450564384460449,11.925024032592773,-0.09935151642975927,0.6306865215301514
2018-07-29,0,Interior plain,3108.0,6.754151344299316,2.5849761962890625,7.542187213897705,17.724525451660156,0.3358474154550056,0.7882347106933594
2018-07-29,1,Coastal plain,479.0,3.944077253341675,1.362962007522583,4.944714069366455,11.001564025878906,0.2936134078526625,0.786999523639679
2018-07-29,2,Interior orographic,943.0,8.271785736083984,-0.6275941133499146,9.072845458984375,18.363887786865234,0.2930954495069122,0.7052088975906372
2018-07-29,3,Coastal orographic,102.0,5.659225940704346,-6.066957950592041,8.830288887023926,15.101066589355469,0.16385844951569795,0.6319987177848816
2018-07-30,0,Interior plain,3108.0,6.958315849304199,0.0072439382784068584,6.168860912322998,14.507037162780762,0.5712763276152516,0.8066037893295288
2018-07-30,1,Coastal plain,479.0,5.124780178070068,3.156190872192383,6.048325061798096,15.567313194274902,0.29108680608929605,0.7806717157363892
2018-07-30,2,Interior orographic,943.0,7.295841693878174,2.154447078704834,5.920924186706543,11.378606796264648,0.6442786621190743,0.7577794790267944
2018-07-30,3,Coastal orographic,102.0,7.216113567352295,6.059561729431152,8.318719863891602,14.220105171203613,0.47790032330007065,0.6420120596885681
2018-07-31,0,Interior plain,3108.0,7.073044300079346,1.4383955001831055,6.159811973571777,13.81775951385498,0.5715229385853042,0.7912548780441284
2018-07-31,1,Coastal plain,479.0,7.703367710113525,3.4055724143981934,7.439011096954346,15.416816711425781,0.6146649178626978,0.7550985217094421
2018-07-31,2,Interior orographic,943.0,7.746825695037842,3.1059188842773438,7.207435131072998,13.430301666259766,0.4632498258391104,0.7386198043823242
2018-07-31,3,Coastal orographic,102.0,14.009363174438477,5.54590368270874,14.572683334350586,23.493511199951172,0.3716628854462181,0.6009392738342285
