shapeID,shapeName,date,mapping_method,gefs_mean_mm,gefs_max_mm,observed_mean_mm,observed_max_mm,heavy_probability_mean,heavy_probability_max,very_heavy_probability_max,grid_cells,risk_level,very_heavy_experimental,correction_raw_mean_mm,global_corrected_mean_mm,global_corrected_max_mm,regime_corrected_mean_mm,regime_corrected_max_mm,regime_adjustment_mm,global_adjustment_mm
76128533B93441663686573,Bhilwara,2018-07-27,contained_grid,0.25285715,0.34,0.030624999,0.17125,0.00055306923,0.00085204572,6.9596805e-05,14,Low Modelled Signal,False,0.25285715,0.0,0.0,0.0,0.0,-0.25285715,-0.25285715
76128533B57712033428660,Bhind,2018-07-27,contained_grid,32.091667,44.0,9.5237494,19.704998,0.028312935,0.04015312,0.0011737415,6,Low Modelled Signal,False,32.091667,26.697258,38.605591,26.68174,38.590073,-5.4099274,-5.3944092
76128533B42646400584570,Bhiwani,2018-07-27,contained_grid,44.82,65.209991,0.90178567,2.175,0.1212758,0.19683555,0.0020761422,7,Heavy Rain Watch,False,44.82,39.425591,59.815582,39.410072,59.800064,-5.4099274,-5.3944092
76128533B66426066081507,Bhojpur,2018-07-27,contained_grid,15.423335,20.640001,5.6912498,7.4175,0.024275005,0.026984667,0.00049960834,3,Low Modelled Signal,False,15.423335,10.028927,15.245594,10.013406,15.230073,-5.4099293,-5.3944082
76128533B22439249004073,Bhopal,2018-07-27,contained_grid,2.1919999,3.3900003,0.40375,1.0387499,0.00067609362,0.0013230115,0.00012797673,5,Low Modelled Signal,False,2.1919999,0.0,0.0,0.0,0.0,-2.1919999,-2.1919999
76128533B5215906594478,Bid,2018-07-27,contained_grid,0.68533331,1.16,0.0019999999,0.024999999,0.00014508785,0.00017917519,3.0319941e-05,15,Low Modelled Signal,False,0.68533331,0.0,0.0,0.0,0.0,-0.68533331,-0.68533331
76128533B9794868259401,Bidar,2018-07-27,contained_grid,0.81000006,1.0300001,0.017361112,0.12625,0.00012449475,0.00013301533,2.3038489e-05,9,Low Modelled Signal,False,0.81000006,0.0,0.0,0.0,0.0,-0.81000006,-0.81000006
76128533B66145460152555,Bijapur,2018-07-27,contained_grid,4.1983333,6.5800004,0.95885414,2.9475,0.0010729815,0.0016672366,0.00046121952,12,Low Modelled Signal,False,4.1983333,0.13509874,1.1855927,0.13251197,1.1700721,-4.0658212,-4.0632343
76128533B40495457052818,Bijapur,2018-07-27,contained_grid,0.73214287,1.33,0.17232144,1.3050001,0.00016518307,0.00019957125,2.8593628e-05,14,Low Modelled Signal,False,0.73214287,0.0,0.0,0.0,0.0,-0.73214287,-0.73214287
76128533B14534161138054,Bijnor,2018-07-27,contained_grid,19.137999,21.209999,65.788742,99.022499,0.011146002,0.014115671,0.00024753061,5,Low Modelled Signal,False,19.137999,13.743591,15.815592,13.728071,15.800071,-5.4099274,-5.3944073
76128533B55039756001726,Bikaner,2018-07-27,contained_grid,0.0093023255,0.19,0.00023255813,0.005,0.00049914618,0.0016396299,5.1521118e-05,43,Low Modelled Signal,False,0.0093023255,0.0,0.0,0.0,0.0,-0.0093023255,-0.0093023255
